,Text,Season,Date,Sentiment Analysis
138,My mom says I m good looking Sounds like a great catch lol thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 0.363, 'pos': 0.637, 'compound': 0.9062}"
139,you disappoint me A real fan knows it s thebachelorette right now teamdesiree,9,6/9/13,"{'neg': 0.193, 'neu': 0.643, 'pos': 0.164, 'compound': -0.1027}"
140,Tomorrow Desiree and the guys play some dodgeball on  Join the live chat starting at 8pm ET,9,6/9/13,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.5574}"
141,OMG tomorrow we find out which guy had the girlfriend ahhh cant wait thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
142,FYI SPOILER Is Desiree Hartsock engaged ,9,6/9/13,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.6408}"
143,Ok so I m voting for to be the first black female on  Somebody get ABC on the phone,9,6/9/13,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.296}"
144,I have a crush on Bryden from thebachelorette,9,6/9/13,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}"
145,FYI SPOILER Is Desiree Hartsock engaged ,9,6/9/13,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.6408}"
146,So excited for tomorrow night thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.4005}"
147,Watching this weeks thebachelorette for the third time MyLifeHasReachedANewLow,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
148,Fotos de JuanPablo como cowboy Aqui thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
149,Omg this rap video on thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
150,Is it Monday night at 8 yet  bachelornation bachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
151,OMG Who is Catherine Giudici s fave guy on ,9,6/9/13,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
152,They all have great personalities montage of shirtless guys lollollol thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}"
153,OMG Who is Catherine Giudici s fave guy on ,9,6/9/13,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
154,Casting Call In Maryland For The Bachelor amp The Bachelorette CastingCall RealityTV TheBachelor ,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
155,For all my friends who watch the here s a fun drinking game for tmw thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.7506}"
156,All the men on  are not straight I can tell you that for a fact,9,6/9/13,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.1695}"
157,LOVING Brookes and Bryden my FINAL TWO  TeamBryden,9,6/9/13,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.6841}"
158,I m watching  on GetGlue,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
159,All Ben is doing is fighting for Des Leave him alone start showing her you wanna be there instead of causing drama TeamBen thebachelorette,9,6/9/13,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.5719}"
160,thebachelorette comes on tomorrow night 8pm on ABC Watch and then have fun chatting at as soon as its done,9,6/9/13,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.5106}"
161,What a cute ep  GetGlue,9,6/9/13,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}"
162,Drew Robert and Ben are my three favs thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
163,Catching up on thebachelorette I still think Jef was the best guy ever Still waiting for him to find me,9,6/9/13,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}"
164,The Bachelorette Spoilers Desiree Finds Drama thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
165,The Bachelorette Spoilers 2013 Sneak Peek At Girlfriend Controversy VIDEO Reality Rewind ,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
166,Does anyone real believe the job titles are legit on  I don t,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
167,Why does Ben have to be soo cute thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}"
168,The Bachelorette Spoilers Desiree Finds Drama thebachelorette,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
169,I m embarrassed for every guy on this rap date right now ,9,6/9/13,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.3612}"
170,The guy that yelled Superman that hoe on the first date BYE ,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
171,It s official Brooks can stay ,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
172,Finally catching up on last weeks  Couldn t wait for ya 123,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
173,The Bachelorette 2013 Spoilers Desiree Confronts Lying Bachelor VIDEO Gossip and Gab ,9,6/9/13,"{'neg': 0.438, 'neu': 0.562, 'pos': 0.0, 'compound': -0.7184}"
174,Just now starting thebachelorette Not one single guy so far has been impressive to me They all seem kind of douchey actually,9,6/9/13,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.5106}"
175,Brooks already has a leg up on everyone  GetGlue,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
176,Brooks is funny in that green tux  GetGlue,9,6/9/13,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
177,There s an entire room full of men rapping that to her That s creepy not romantic thebachelorette,9,6/9/13,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.3089}"
178,Catching up  GetGlue,9,6/9/13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
